,9619208: How would you rate your Python proficiency?,9619209: How comfortable are you with Git/GitHub?,9619210: What is your level in data cleaning/preprocessing?,9619211: How would you describe your Exploratory Data Analysis (EDA) skills?,9619212: What’s your proficiency in data visualization?,9602345: Which best captures your ML foundations?,9619215: How proficient are you with ML tooling?,9602349: What’s your experience level with LLMs?,9602350: How experienced are you with deployment/DevOps?,9602351: What is your cloud familiarity (AWS/GCP/Azure)?,"9602356: On a scale of 1–10, how comfortable are you with self-directed learning  debugging?",9602417: What are your top 3 learning goals for this course? (Short phrases; list three.),9602418: Do you have any concerns about prerequisites or background? (Briefly describe.),"9602426: Which specific tools or topics do you hope we cover? (Name libraries, platforms, or themes.)"
10,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Basic (remove duplicates, simple imputations)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)",Basic (matplotlib/Excel charts),Tutorials completed (fit/predict on standard datasets),"Intermediate (hyperparameter tuning, cross-validation, feature engineering)",No LLM experience,Basic (Streamlit/Gradio; simple hosting),,"5–6 Neutral (can try first, then seek help)","* Learning more advanced Python material.

* Learning how to use additional data analytics programs.

* Learning how to interpret raw results in-depth.","No, I do not have any concerns about prerequisites or background.",Specific tools or topics that I hope we cover include the Power BI software for data visualization.
11,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Basic (descriptives, simple plots)",Basic (matplotlib/Excel charts),Tutorials completed (fit/predict on standard datasets),Basic (scikit-learn pipelines; standard models),"Intermediate (code gen/debugging, data exploration)",,"Basic (compute/storage setup, permissions basics)",7–8 Comfortable (usually solve with docs/forums),"My top learning goals for this class are 

*

Strengthen machine learning foundations 

*

Gain practical experience in data preprocessing and visualization

*

Learn deployment and cloud workflows for ML applications",I don't have major concern but i hope to learn about machine learning as I don't have deep understaning in machine learning. ,"Flask/FastAPI, AWS/GCP/Azure"
12,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Basic (remove duplicates, simple imputations)","Basic (descriptives, simple plots)",Basic (matplotlib/Excel charts),Tutorials completed (fit/predict on standard datasets),Basic (scikit-learn pipelines; standard models),"Intermediate (code gen/debugging, data exploration)",,,3–4 Somewhat uncomfortable (prefer close support),"Further improving my skills in the LLM category.

Becoming more competent in ML and better understanding the concept behind it.

Become fully proficient in data cleaning/scraping.

 ",Not that I can think of at the moment.,CloudFormation considering I have zero experience in it.
13,"Intermediate (functions/classes, pandas/numpy, file I/O)","Intermediate (branching, merging, pull requests)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Basic (descriptives, simple plots)",Basic (matplotlib/Excel charts),"Projects (train/val/test splits, metrics, model comparison)","Intermediate (hyperparameter tuning, cross-validation, feature engineering)",No LLM experience,,,7–8 Comfortable (usually solve with docs/forums),"1. Learn to deploy code 

2. Get a deeper understanding of what a block of code or tool is doing

3. Master storytelling. ",Just being more confident in what I am learning. ,building dashboards to help with storytelling and presentations. 
14,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Basic (descriptives, simple plots)",Basic (matplotlib/Excel charts),"Projects (train/val/test splits, metrics, model comparison)",Basic (scikit-learn pipelines; standard models),No LLM experience,,,7–8 Comfortable (usually solve with docs/forums),"1. Further my knowledge of visualizations tools e.g. Tableu

2. Handle large datasets with missing/biased data.

3. Become involved in LLMs and AI, and learn how to be valuable to a company.  ","The only concern/fear I currently have is being behind. Though I've spent the past year self-learning coding, I feel it's not enough. I'm not afraid to try, so I know it'll work out.","Git and Github (Merging, Branches, Repositories)

LLM

 

 "
15,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Basic (descriptives, simple plots)",Advanced (dashboards/storytelling; audience-appropriate design),Tutorials completed (fit/predict on standard datasets),Basic (scikit-learn pipelines; standard models),No LLM experience,Basic (Streamlit/Gradio; simple hosting),,7–8 Comfortable (usually solve with docs/forums)," 

* I would like to learn more about LLMs and attain more practice in that area, because I do not have much experience, and I know that it is crucial

*  I want to become more proficient in my skills so that I can apply them to the professional field

* I also want to improve in data visualization as I think that will be the most relevant in my field","I think my background is less advanced than that of my peers because I have spent the last two years focusing more on my second major, and am just recently getting back to the Data Science courses.  I feel that my knowledge is lacking in some areas, but I am willing to work towards improving on my own.  I am also going into a different field than most of my peers (I want to do technology law), so I fear that my background and focus will be slightly different.  ",I hope to cover more business-oriented topics.  
16,"Intermediate (functions/classes, pandas/numpy, file I/O)",Never used,"Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)",Basic (matplotlib/Excel charts),Tutorials completed (fit/predict on standard datasets),Basic (scikit-learn pipelines; standard models),"Intermediate (code gen/debugging, data exploration)",,,"5–6 Neutral (can try first, then seek help)","Developing coding skills.

More experience with LLM's.

 Learn more about ML.","No, other than just the usually remembering.  ","Git, Python, Power Bi"
17,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)","Intermediate (seaborn/plotly; multi-facet charts, interactive)",Theoretical only (coursework/reading),Basic (scikit-learn pipelines; standard models),"Intermediate (code gen/debugging, data exploration)",Basic (Streamlit/Gradio; simple hosting),"Basic (compute/storage setup, permissions basics)","5–6 Neutral (can try first, then seek help)","1. Understand how to display data in a meaningful way, depending on the required output

2. Learn the beginning-to-end process from data gathering to deployment

3. How to utilize AI in a productive way

 

 ",No,"Data Visualization tools like Tableau, Power BI"
18,"Intermediate (functions/classes, pandas/numpy, file I/O)","Intermediate (branching, merging, pull requests)","Basic (remove duplicates, simple imputations)","Advanced (profiling reports, targeted diagnostics, experiment design)",Advanced (dashboards/storytelling; audience-appropriate design),Tutorials completed (fit/predict on standard datasets),Basic (scikit-learn pipelines; standard models),"Intermediate (code gen/debugging, data exploration)",,"Basic (compute/storage setup, permissions basics)","5–6 Neutral (can try first, then seek help)","My learning goals:

1. Improve on my coding especially with Python (packaging, reviewing codes, testing, etc.)

2. Understanding more and applying key concepts like probability, regression , and/or hypothesis testing.

3. Building up a portfolio to show future classes or employers.","No, not really. ","Tableau, SQL, EDA, Regression & Classification"
19,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Basic (remove duplicates, simple imputations)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)","Intermediate (seaborn/plotly; multi-facet charts, interactive)",No experience,Basic (scikit-learn pipelines; standard models),No LLM experience,,,"5–6 Neutral (can try first, then seek help)","My top 3 goals for this class are to learn more of the software and tools needed to work in my field. I really want to learn Power Bi, Azure, and how to become more proficient with python data cleaning, wrangling, and manipulation.  I would also like to learn more SQL. ","i do have some concerns regarding Git, doing cross validation, and intermediate python coding","SQL

Advanced python

Azure

Power Bi

SkiLearn

Tableau

AWS

and some basic LLM and MLM knowledge. "
20,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Basic (remove duplicates, simple imputations)","Basic (descriptives, simple plots)",Advanced (dashboards/storytelling; audience-appropriate design),Theoretical only (coursework/reading),Basic (scikit-learn pipelines; standard models),"Intermediate (code gen/debugging, data exploration)",,,"5–6 Neutral (can try first, then seek help)","1. Become a much more confident programmer by developing my analytic skills and doing hands on applications/projects. Truly understand the fundamentals of analytics and be able to carry that knowledge outside of class.

2. Learn how to communicate my technical knowledge to interviewers and ultimately apply it to a real job setting

3. Discover what areas of data science I enjoy to narrow my job search and application process.","I have fundamentals in Python, data visualization and storytelling, but I need to learn how to tie it all together. Topics like LLMS, cloud, ML I need a better understanding of since I can’t really differentiate everything very well.",Git Hub! I feel lost on this and would like some opportunities to develop mine. I also want to cover the differences between data science careers and how to identify which path is right for you. 
21,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Basic (remove duplicates, simple imputations)",,Basic (matplotlib/Excel charts),"Projects (train/val/test splits, metrics, model comparison)",Basic (scikit-learn pipelines; standard models),No LLM experience,Basic (Streamlit/Gradio; simple hosting),,"5–6 Neutral (can try first, then seek help)","Learn more about LLM

Be more efficient in machine learning Algorithm

learn about visualization tools",,Deep learning.
22,"Basic (variables, loops, lists; simple scripts)","Basic (clone, add, commit, push)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Basic (descriptives, simple plots)",Basic (matplotlib/Excel charts),Theoretical only (coursework/reading),,"Intermediate (code gen/debugging, data exploration)",Basic (Streamlit/Gradio; simple hosting),"Basic (compute/storage setup, permissions basics)",3–4 Somewhat uncomfortable (prefer close support),"* Develop Marketable skills that make my resume and skill set appealing. 

* Find practical uses for the skills I've learned in my time in academics.

* Find an internship/shadowing opportunity where I can network.","It's been a while since I've used Python to code. I have a basic understanding of code structure through the use of other languages, but if you asked me to code something in Python right now, I'd need a few days to refresh before making something without the use of an LLM.","We should cover a small part of every facet of data science used practically in a business application. Give students a simple, replicable blueprint for how to problem-solve basic issues that we can build on and adapt to our future occupations."
23,"Intermediate (functions/classes, pandas/numpy, file I/O)","Intermediate (branching, merging, pull requests)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Basic (descriptives, simple plots)",Basic (matplotlib/Excel charts),Tutorials completed (fit/predict on standard datasets),Basic (scikit-learn pipelines; standard models),"Intermediate (code gen/debugging, data exploration)",,,7–8 Comfortable (usually solve with docs/forums),"* increased proficiency in DevOps

* increased proficiency in Cloud familiarity 

* just more exercises and practice with LLM's",I have no concerns about the prerequisites,"It has been annotated on the syllabus, but I would like to get into Tableau and Power BI."
24,"Basic (variables, loops, lists; simple scripts)","Basic (clone, add, commit, push)","Basic (remove duplicates, simple imputations)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)","Intermediate (seaborn/plotly; multi-facet charts, interactive)",Theoretical only (coursework/reading),Basic (scikit-learn pipelines; standard models),No LLM experience,,,3–4 Somewhat uncomfortable (prefer close support),"- get better at ml tooling-fully understand principles and be able to implement them in real life situations/problems 

* gain experience with LLMs

* better my data visualization skills ","not really

 ",learn about api and really want to do more projects to apply and test what we've learned in class other than quizzes
25,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Basic (remove duplicates, simple imputations)",,"Intermediate (seaborn/plotly; multi-facet charts, interactive)",Theoretical only (coursework/reading),,No LLM experience,,"Basic (compute/storage setup, permissions basics)",3–4 Somewhat uncomfortable (prefer close support),"-develop better coding skills

-create more machine learning projects

-work with more LLM's",no as long as there is tools/support ,working with industries specific tools
26,"Basic (variables, loops, lists; simple scripts)","Basic (clone, add, commit, push)","Basic (remove duplicates, simple imputations)","Basic (descriptives, simple plots)","Intermediate (seaborn/plotly; multi-facet charts, interactive)","Projects (train/val/test splits, metrics, model comparison)",Basic (scikit-learn pipelines; standard models),"Intermediate (code gen/debugging, data exploration)",Basic (Streamlit/Gradio; simple hosting),,"5–6 Neutral (can try first, then seek help)","1) Get more comfortable with Python, seaborn, matplotlib, etc

2) Gain a deeper understanding of how machine learning works

3) Learn more what the cloud is and how it is used","I feel like I don't remember much from my previous data science classes, and I have no coding experience outside the few classes I have taken here at Charlotte. ",Tableau and SQL
27,"Intermediate (functions/classes, pandas/numpy, file I/O)","Intermediate (branching, merging, pull requests)",,"Basic (descriptives, simple plots)",Basic (matplotlib/Excel charts),Tutorials completed (fit/predict on standard datasets),Basic (scikit-learn pipelines; standard models),No LLM experience,,,3–4 Somewhat uncomfortable (prefer close support),"More confident in coding process from where to start all the way to fixing issues.

Gaining a better understanding of what solutions are applicable in certain domains.

Git hub - barely understand all the applications and ways to use.",Not much but only started coding this time last year so it feels like I'm drinking through a firehose a bit.,Like to learn more about AWS and the cloud
28,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Basic (remove duplicates, simple imputations)","Basic (descriptives, simple plots)",Basic (matplotlib/Excel charts),Theoretical only (coursework/reading),Basic (scikit-learn pipelines; standard models),No LLM experience,,,"5–6 Neutral (can try first, then seek help)","Learn more about data science and the intricacies related to coding/computing 
get a good grade for my degree so I can graduate in the spring

Develop more skills related to the field of data science for my future career","somewhat, only that I'm not the best at coding ","unsure, looking forward to learning more "
29,"Intermediate (functions/classes, pandas/numpy, file I/O)","Intermediate (branching, merging, pull requests)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Basic (descriptives, simple plots)",Basic (matplotlib/Excel charts),Tutorials completed (fit/predict on standard datasets),Basic (scikit-learn pipelines; standard models),No LLM experience,,"Basic (compute/storage setup, permissions basics)",7–8 Comfortable (usually solve with docs/forums),"Get more comfortable with data presentation

More practice with project management

Stay engaged","Deployment/DevOps (I learned it in theory but I don't remember in practice) and my preparedness, visualizations",
30,"Intermediate (functions/classes, pandas/numpy, file I/O)","Intermediate (branching, merging, pull requests)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)","Intermediate (seaborn/plotly; multi-facet charts, interactive)","Projects (train/val/test splits, metrics, model comparison)","Intermediate (hyperparameter tuning, cross-validation, feature engineering)","Intermediate (code gen/debugging, data exploration)",Basic (Streamlit/Gradio; simple hosting),,7–8 Comfortable (usually solve with docs/forums),"Custom LM Training 

AWS/Online Solutions 

Familiarity with Enterprise Solutions  ",,
31,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Basic (descriptives, simple plots)",Advanced (dashboards/storytelling; audience-appropriate design),Theoretical only (coursework/reading),Basic (scikit-learn pipelines; standard models),No LLM experience,,"Basic (compute/storage setup, permissions basics)",7–8 Comfortable (usually solve with docs/forums),"* Analyze Data ( in general, better communicate and explain the visualization and storytelling)

* Better in Python, Power BI, and other tools.

* Get better in targeted diagnostics and experiment design. ","No, ","Plots, libraries, and themes. "
32,"Advanced (testing, packaging, async, profiling)","Intermediate (branching, merging, pull requests)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)","Intermediate (seaborn/plotly; multi-facet charts, interactive)","Projects (train/val/test splits, metrics, model comparison)",Basic (scikit-learn pipelines; standard models),No LLM experience,Basic (Streamlit/Gradio; simple hosting),,"5–6 Neutral (can try first, then seek help)","Furthering my understanding LLM

Learning less theoretical work, more practical everyday job processes. 

An introduction to cloud computing and cloud services. ",I might not be that familiar with some of the streamlining things. ,I really do enjoy the ethics side of AI and data science. A lot more regulations and laws are coming out targeting certain AI usage cases and data usage. 
33,"Basic (variables, loops, lists; simple scripts)",Never used,"Basic (remove duplicates, simple imputations)",,Basic (matplotlib/Excel charts),No experience,,No LLM experience,,,"5–6 Neutral (can try first, then seek help)",I really don't have any learning goals. I'd liked to consume as much information that I can that could help me in the workforce. ,No,Power BI 
34,"Intermediate (functions/classes, pandas/numpy, file I/O)","Intermediate (branching, merging, pull requests)","Basic (remove duplicates, simple imputations)","Basic (descriptives, simple plots)",Basic (matplotlib/Excel charts),Tutorials completed (fit/predict on standard datasets),Basic (scikit-learn pipelines; standard models),No LLM experience,,,3–4 Somewhat uncomfortable (prefer close support),"Be able to interpret data insights

Understand and be fluent in coding

Develop visualization skills",nope,PowerBi or tableau
35,"Advanced (testing, packaging, async, profiling)","Intermediate (branching, merging, pull requests)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)",Advanced (dashboards/storytelling; audience-appropriate design),"Projects (train/val/test splits, metrics, model comparison)","Intermediate (hyperparameter tuning, cross-validation, feature engineering)","Expert (RAG at scale, fine-tuning/evals, safety/guardrails)",Basic (Streamlit/Gradio; simple hosting),"Intermediate (managed services: DB, queues, functions)",7–8 Comfortable (usually solve with docs/forums),"1. ML Engineering

2. Real-world Data Cleaning

3. Advanced Hyperparameter Tuning

 ","I don't think so, but my foundations in more of the DevOps side are pretty limited. ","I would love to delve into Docker and FastAPI if possible, and even deploying things to AWS or GCP would be an amazing experience in finally taking things out of our laptops and moving them to the Cloud. Learning more about production-grade packages like Optuna or Nixtla would also be an amazing experience, and really focusing on the large, messy datasets that are often seen in the real world. "
36,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)",Basic (matplotlib/Excel charts),"Projects (train/val/test splits, metrics, model comparison)","Intermediate (hyperparameter tuning, cross-validation, feature engineering)",No LLM experience,Basic (Streamlit/Gradio; simple hosting),,7–8 Comfortable (usually solve with docs/forums),"1. Better understanding of the implementation of ML models

2. Business applications of data science / ML

3. Working more with GitHub and deployment",No,"Deployment, Tableau/PowerBI, applications of ML"
37,"Advanced (testing, packaging, async, profiling)","Intermediate (branching, merging, pull requests)","Basic (remove duplicates, simple imputations)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)",Basic (matplotlib/Excel charts),Tutorials completed (fit/predict on standard datasets),Basic (scikit-learn pipelines; standard models),No LLM experience,,"Intermediate (managed services: DB, queues, functions)","5–6 Neutral (can try first, then seek help)","* learn more of what goes into the topic and the ins and outs 

* improve what i already know to better myself

* gain any needed skills to help in the future",Not really. Just the things listed here that i have little to no experience in and how it will impact how i do in the course.,I dont have any specific topics 
38,"Basic (variables, loops, lists; simple scripts)","Basic (clone, add, commit, push)",,"Basic (descriptives, simple plots)","Intermediate (seaborn/plotly; multi-facet charts, interactive)",Theoretical only (coursework/reading),Basic (scikit-learn pipelines; standard models),No LLM experience,Basic (Streamlit/Gradio; simple hosting),,"5–6 Neutral (can try first, then seek help)","* Learn to ask the right questions that push thinking

* Data visualization that is clear and concise to all departments of a company

* Work on profienciy of Python coding",Just making sure I'm proficient enough in Python coding to keep up. Will study outside of class!,"Power BI and Tableau since those are an industry standard.

Also, the background themes and libraries that are prevalent in industries. "
39,"Intermediate (functions/classes, pandas/numpy, file I/O)","Intermediate (branching, merging, pull requests)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Basic (descriptives, simple plots)","Intermediate (seaborn/plotly; multi-facet charts, interactive)","Projects (train/val/test splits, metrics, model comparison)","Advanced (model selection under constraints, calibration, interpretability)","Intermediate (code gen/debugging, data exploration)",Basic (Streamlit/Gradio; simple hosting),"Intermediate (managed services: DB, queues, functions)",7–8 Comfortable (usually solve with docs/forums),"Improve my ML skills

Go further in depth with Git/Github

Have a better understanding of EDA",I do not have any concerns. I feel like the work I have done in previous courses have prepared me for this course.,I would love to go further in depth with Git/Github as well as data visualizations.
40,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)",,"Basic (descriptives, simple plots)",Basic (matplotlib/Excel charts),No experience,,No LLM experience,,"Basic (compute/storage setup, permissions basics)",1–2 Very uncomfortable (need step-by-step guidance),"Learn more specifics on machine learning and llms.

Learn more technical skills for data visualization and data cleaning .

Learn more about how to ace interviews for both technical and behavioral.",I don't have a strong technical background and don't feel like I learned much from previous data studio courses due being unmedicated and having adhd it was really hard to focus in the previous courses.,"power bi, tableau, machine learning models, AI"
41,"Intermediate (functions/classes, pandas/numpy, file I/O)","Intermediate (branching, merging, pull requests)","Basic (remove duplicates, simple imputations)","Basic (descriptives, simple plots)","Intermediate (seaborn/plotly; multi-facet charts, interactive)","Projects (train/val/test splits, metrics, model comparison)","Intermediate (hyperparameter tuning, cross-validation, feature engineering)","Intermediate (code gen/debugging, data exploration)",Basic (Streamlit/Gradio; simple hosting),,7–8 Comfortable (usually solve with docs/forums),"1. I want to get better at working with API's and other deployment strategies

2. I want to better understand how to clean and process data

3. I want to get better at creating meaningful plots and visualizations",I have no experiences with cloud technologies and little experience with API's / deployment,Just excited to learn about the business models portion of this course
